Position,Player,Type,ADP,Bye,NEWS / NOTES
RB,Raheim Sanders (LAC - BYE: 12),Rookie,82,12,""
WR,Andrei Iosivas (CIN - BYE: 10),Rookie,82,10,""
RB,Jacory Croskey-Merritt (WAS - BYE: 12),Rookie,83,12,""
WR,Jalen Tolbert (DAL - BYE: 10),Rookie,83,10,""
RB,Antonio Gibson (NE - BYE: 14),Veteran,84,14,""
WR,Adonai Mitchell (IND - BYE: 11),Rookie,85,11,"Adonai Mitchell is a dark-horse Year 2 breakout candidate after f..."
RB,LeQuint Allen Jr. (JAC - BYE: 8),Rookie,85,8,"LeQuint Allen Jr. could play a role in the slot »"
WR,Dyami Brown (JAC - BYE: 8),Rookie,86,8,""
WR,Tutu Atwell (LAR - BYE: 8),Rookie,87,8,"Tutu Atwell continues to be one of Sean McVay's favorite projects..."
WR,Pat Bryant (DEN - BYE: 12),Rookie,88,12,""
WR,Isaac TeSlaa (DET - BYE: 8),Rookie,89,8,"Isaac TeSlaa signs rookie contract with Lions »"
WR,Savion Williams (GB - BYE: 5),Rookie,90,5,"Savion Williams may slot into limited role »"
WR,Troy Franklin (DEN - BYE: 12),Rookie,91,12,""
WR,Tory Horton (SEA - BYE: 8),Rookie,92,8,"Tory Horton signs rookie contract with Seahawks »"
RB,Ezekiel Elliott (FA),Veteran,92,,""
WR St, Tre Tucker (LV - BYE: 8),Rookie,93,8,""
WR,Ray-Ray McCloud III (ATL - BYE: 5),Veteran,94,5,""
WR,Calvin Austin III (PIT - BYE: 5),Rookie,95,5,""
WR,Demarcus Robinson (SF - BYE: 14),Veteran,96,14,""
RB,Parker Washington (JAC - BYE: 8),Rookie,97,8,""
RB,Donovan Edwards (NYJ - BYE: 9),Rookie,97,9,""
RB,Emanuel Wilson (GB - BYE: 5),Rookie,98,5,""
WR,Mike Williams (LAC - BYE: 12),Veteran,99,12,"Mike Williams returns to the Chargers on a one-year, incentive-la..."
RB,Marcus Yarns (NO - BYE: 11),Rookie,99,11,""
WR,Kayshon Boutte (NE - BYE: 14),Rookie,100,14,""
WR,Marquez Valdes-Scantling (SEA - BYE: 8),Veteran,101,8,""
RB,Clyde Edwards-Helaire (NO - BYE: 11),Veteran,101,11,""
WR,Xavier Restrepo (TEN - BYE: 10),Rookie,102,10,""
RB,Michael Carter (ARI - BYE: 8),Veteran,102,8,""
WR,Isaiah Bond (FA),Rookie,103,,""
RB,Gus Edwards (FA),Veteran,104,,""
WR,Tai Felton (MIN - BYE: 6),Rookie,105,6,"Tai Felton signs rookie contract with Vikings »"
RB,Kyle Juszczyk (SF - BYE: 14),Veteran,105,14,""
WR,Roman Wilson (PIT - BYE: 5),Rookie,106,5,""
RB,Deuce Vaughn (DAL - BYE: 10),Rookie,106,10,""
WR,Gabe Davis (FA),Veteran,108,,"Gabe Davis visiting Giants Wednesday »"
RB,Carson Steele (KC - BYE: 10),Rookie,108,10,""
WR,Diontae Johnson (CLE - BYE: 9),Veteran,109,9,""
WR,Jalen Nailor (MIN - BYE: 6),Rookie,110,6,""
RB,Emari Demercado (ARI - BYE: 8),Rookie,110,8,""
WR,KaVontae Turpin (DAL - BYE: 10),Veteran,111,10,"KaVontae Turpin quietly showed explosive potential in 2024, finis..."
WR,Chimere Dike (TEN - BYE: 10),Rookie,112,10,""
RB,Phil Mafah (DAL - BYE: 10),Rookie,112,10,""
WR,Devaughn Vele (DEN - BYE: 12),Rookie,113,12,""
RB,Sincere McCormick (LV - BYE: 8),Rookie,113,8,""
WR,Noah Brown (WAS - BYE: 12),Veteran,114,12,""
WR,Jimmy Horn Jr. (CAR - BYE: 14),Rookie,115,14,""
RB,Chris Rodriguez Jr. (WAS - BYE: 12),Rookie,116,12,""
WR,Malik Washington (MIA - BYE: 12),Rookie,116,12,""
RB,Kalel Mullings (TEN - BYE: 10),Rookie,117,10,""
WR,Elijah Moore (BUF - BYE: 7),Veteran,117,7,""
WR,Curtis Samuel (BUF - BYE: 7),Veteran,125,7,""
WR,Dont'e Thornton Jr. (LV - BYE: 8),Rookie,126,8,""
RB,Tyler Goodson (IND - BYE: 11),Rookie,127,11,""
RB,Tyler Badie (DEN - BYE: 12),Rookie,128,12,""
RB,Jeremy McNichols (WAS - BYE: 12),Veteran,129,12,""
WR,Tez Johnson (TB - BYE: 9),Rookie,130,9,"Tez Johnson signs rookie contract with Buccaneers »"
WR,Luke McCaffrey (WAS - BYE: 12),Rookie,131,12,""
WR,Ricky White III (SEA - BYE: 8),Rookie,132,8,"Ricky White III signs rookie contract with Seahawks »"
WR,Jahan Dotson (PHI - BYE: 9),Rookie,133,9,""
WR,John Metchie III (HOU - BYE: 6),Rookie,134,6,""
WR,Ja'Lynn Polk (NE - BYE: 14),Rookie,135,14,""
WR,Greg Dortch (ARI - BYE: 8),Veteran,139,8,""
